age,average mark,gender,phone number,first name,second name
28,9.89,f,3770176538.4456587,Reinaldo,Varrone
21,5.9,f,5701949254.761771,Gregory,Schick
25,4.68,m,1617413549.703073,Kenneth,Water
24,5.61,f,2770707573.3614798,Ruby,Winkler
21,7.59,m,3200414043.857535,Michael,Weaver
21,9.15,m,8915416405.594402,Mark,Jewell
23,4.51,f,6390908574.932285,Mary,Buchanon
25,6.19,f,4235192775.952614,Michelle,Mayhugh
28,4.73,f,2793481194.70193,Edna,Avery
23,5.79,m,9352063146.380722,James,Jenkins
21,5.12,f,8626215740.945135,Alex,Heefner
21,4.58,m,1000724312.5734885,Karen,Denny
22,7.54,f,2287924463.4654875,Matthew,Gonzales
24,8.31,f,5082711790.537662,Linda,Quella
30,5.8,f,8511342779.246542,Lynn,Jones
30,4.43,f,9955153368.393644,Darryl,Sutton
28,5.78,f,6828216747.372094,Marietta,Ward
18,9.64,f,,Gregory,Knight
26,5.45,m,9769232017.984304,Terri,Kelly
23,8.13,f,9784435407.515087,Peter,Nevills
19,9.8,m,2392498362.592036,Christopher,Ouzts
20,6.1,m,1194189988.3636324,Maxine,Zirin
20,5.34,m,6110379751.69905,Ruth,Young
30,6.85,f,4406259577.882175,David,Phillies
25,5.55,m,7643735344.014171,Lisa,Sullivan
25,8.96,f,3714501740.916474,David,Bourque
20,6.84,f,6394670868.023701,Adrianne,Ali
27,4.16,m,2750429239.268527,Ernest,Sommerville
21,8.39,f,4631387495.058478,Virginia,Price
24,5.34,f,9416911316.341942,Leon,Morgan
25,9.86,f,8226030885.814761,William,Johnson
18,4.47,m,7427929637.012052,Nicholas,Mathes
25,7.21,f,2986993893.307184,Alisa,Smith
27,5.57,m,3966342284.59777,Yolanda,Mays
24,5.91,f,5025802761.948147,Edith,Shaffner
30,6.71,f,7317436279.778887,William,Gonzales
23,8.14,m,8883655239.405365,Krista,Henley
19,6.73,m,7673734832.156726,Yvonne,King
29,6.1,f,7895745297.586193,Laura,Hoffmann
27,9.49,m,8655394560.076523,Raymond,Brooks
30,5.47,f,3277236159.6564426,Arthur,Loveless
30,5.97,m,3531325086.680223,Louis,Jones
26,7.87,f,8821663281.102772,Sabine,Smith
21,8.02,f,6342239620.646551,David,Hill
21,6.78,m,7392766370.0653715,John,Gary
18,5.98,f,5698516124.541723,Johnny,Huffman
18,6.78,m,9376310974.65348,Audrey,Williams
19,8.71,m,2952943724.6685877,Kelly,Rodriguez
26,5.8,f,1923120228.9272165,Keneth,Burch
24,7.69,f,2860774101.007902,Sean,Fox
22,8.35,f,1453937009.3644524,Jan,Leclair
22,8.85,m,6991902960.832637,Eric,Feagin
28,8.4,f,8052461456.827631,Armanda,Horgan
18,9.62,m,9513256556.270756,Kenneth,Joyce
22,7.93,f,2392191422.6024437,Maria,Breton
21,5.87,f,5925999080.577269,David,Parr
24,7.59,f,5097911445.509586,Logan,Bartolet
29,6.88,f,1516854011.4194582,Hubert,Williams
20,9.25,f,5987752703.998857,Linda,Foulkes
25,9.08,f,1076486217.5006824,Phyllis,Thomas
25,8.68,m,4498348274.070595,Lucille,Berry
24,5.55,f,8118771720.593814,Frank,Beauchesne
19,6.24,m,5193237292.532074,Kathryn,Brown
29,6.05,m,7404690430.0365095,Marilyn,Mathews
30,8.25,m,3106225043.0317,Tim,Moscoso
20,8.15,f,3950758033.0538545,William,Milligan
22,7.67,m,8433396833.849928,Nicholas,Hahn
19,9.48,f,8488886550.463676,Melinda,Ludgate
27,7.25,m,2928610654.5777373,Theodore,Yates
21,6.43,m,5716184880.96697,Ester,Leis
27,4.19,f,3698471175.5854115,Francis,Robinson
26,8.4,f,8214812551.022982,Tina,Bath
29,8.22,f,5210406330.552301,Mandy,Hambric
21,4.07,f,5605993688.481714,Jose,Martin
24,8.07,m,8364538558.9083805,Helen,Shoemake
19,4.91,m,3659995794.2252584,Richard,Castro
19,9.54,f,1423755857.8106823,Willie,Lowell
21,4.5,m,3164667409.6953187,Jennie,Ramlall
26,7.41,f,7279681979.061426,Karen,Gavin
28,4.23,m,7147761738.83825,Michael,Mckinnon
20,6.69,f,6664260303.256176,Priscilla,Roper
18,4.97,m,4142696451.346546,Jonathan,Newsome
25,6.3,f,6804892968.772743,Anthony,Branch
30,6.59,m,9342629932.30819,Robert,Gibson
23,4.16,m,6645483669.352536,Thomas,Schade
27,7.6,m,6786419800.797874,Kirby,Green
18,4.79,m,9671408409.967585,Brian,Edwards
21,6.25,f,6588948179.525713,Debra,Flores
21,9.12,f,7109648899.461649,David,Macleod
30,5.88,m,8917392021.091843,Lois,Nelsen
21,6.75,m,9572835379.167633,Wanda,Jones
18,8.76,f,8963163467.924248,Marsha,Robinson
28,9.94,f,3269962121.750865,Nicole,Jeffries
24,6.25,f,7019262725.5134535,Ann,Turner
25,9.38,m,7493834558.332328,Agnes,Warnock
21,9.53,f,6758372185.912734,Darlene,Wertman
27,5.88,f,3162783461.98829,Leo,Fleming
26,9.73,m,3456560109.9052377,Nicholas,Maldonado
27,7.31,m,2441909396.187993,Lanny,Mccrary
19,5.99,f,1381241107.29785,Lee,Walburn
20,4.33,f,6595003144.170877,Grace,Souphom
19,8.88,m,7535449662.712161,Thomas,Mason
23,8.5,m,5753600358.262189,Dudley,Peterson
23,7.76,f,7059458345.821536,Christopher,Rash
18,7.89,m,9710047249.361073,Tracey,Kelty
22,9.87,f,6146336406.69302,Patrick,Hickman
26,9.45,m,3833146583.3003774,Roland,Charleston
23,8.46,f,5294755465.176588,Lucia,Sherrill
27,8.09,m,9565235663.869919,Barbara,Buck
26,6.42,f,2671897338.588525,Warren,Pereira
28,6.67,m,1835513317.6642041,Heather,Peterson
24,6.24,f,1261521651.9734426,Jasper,Gonzalez
29,4.53,m,4573616827.197892,Diane,Stclair
22,7.31,m,4538153488.611908,Dorothy,Gosnell
24,9.34,f,5143037316.028406,Charles,Childress
23,6.11,f,2601552472.8350744,Linda,Simmons
29,5.38,m,5108690060.899905,Todd,Netterville
25,6.83,f,9063804790.724897,Rebecca,Lamb
23,4.52,m,8302755702.127967,Tiffany,Erkkila
20,5.09,f,5524058697.658543,Charles,Hooper
19,5.27,m,6770380300.462959,Raymond,Brickey
22,4.54,f,9334149611.325012,William,Sheehan
26,6.83,m,8996746925.70633,Margaret,Miller
27,9.0,f,4315462116.607771,Peggy,Rael
22,7.19,m,7508612327.409848,Barbara,Roy
29,6.98,m,6033782688.500154,Bernice,Adams
23,8.97,f,8120472134.716899,Michael,Hamel
23,4.92,f,4299248125.534369,Paul,Swasey
28,4.36,m,8541020152.669368,Johanna,Chavez
29,6.63,f,1800645754.4921422,Gloria,Gutierrez
27,7.69,m,6797870642.960545,Harry,Rusher
19,6.85,f,2550430621.40108,Carlos,Mcreynolds
26,9.74,m,3460689336.424312,Susan,Peschel
19,7.17,f,5967628086.358783,Margaret,Mcguire
22,9.95,m,8657293427.345013,John,Peralta
25,4.94,f,5689318693.106708,Barbara,Brown
23,7.01,m,6403300512.137337,Dustin,Patrick
28,8.21,m,1294038207.0085964,Brian,Vargas
25,8.9,f,3484510784.0090365,Rick,Capizzi
29,6.59,f,4554046025.0769205,Lisa,Palmieri
24,7.63,m,9855804224.427668,Brenda,Sumter
23,4.97,f,2670507749.5853786,Laverne,Radford
21,4.08,m,4780741234.469423,Heather,Lish
18,5.5,f,2727303328.3647785,Jeffrey,Deane
27,7.79,m,1568051977.1258621,Valerie,Woode
25,6.53,f,4682029367.670267,Benjamin,Brown
24,6.16,m,8976662604.311726,Timothy,Armstrong
24,7.73,f,4237432730.995549,Krystal,Janssen
30,5.16,m,3971462425.8276334,Daniel,Bell
19,6.28,m,1942718668.7779279,George,Basil
26,8.72,f,1376613158.9023166,Lilian,Rocha
26,5.33,f,6668572724.706575,Stanley,Jackson
30,7.31,m,6682774281.00851,Christine,Franks
18,7.08,f,1192536959.9189105,Janelle,Vecker
19,5.24,m,5589907348.194865,Grace,Robbins
18,8.18,f,3796164489.131176,Joshua,Ream
20,9.18,m,5746055967.170505,Georgia,Calaf
29,9.24,f,3448319612.8033323,Rhonda,Leona
28,5.49,m,1605409041.881771,Charles,Schueller
26,6.95,f,9019925084.032473,Leonor,Adams
28,9.29,m,4268696933.4559484,John,Bond
24,7.48,m,5136725913.608993,Deirdre,Marthe
25,9.94,f,3208160557.0412245,Gene,Utley
20,9.13,f,7648178940.123778,Lisa,Wilson
22,9.36,m,4438724682.545521,Catherine,Kim
24,8.77,f,5526907342.765795,Randolph,Martin
30,4.22,m,4734443418.684437,Velma,Jobe
21,4.03,f,6818590622.927059,Naomi,Mendosa
29,7.01,m,1134712902.3111017,William,Grove
29,5.68,f,1956933085.7503314,Sandra,Hackney
28,9.61,m,5910106973.085421,Jennifer,Higdon
29,9.4,f,9597070848.030655,Tina,Tidwell
30,4.06,m,3035571562.928877,Emily,Simpson
24,4.51,m,2364676498.875899,Frank,Rasmussen
19,6.06,f,2804548894.5478806,Lisa,Strause
30,4.61,f,2846613901.214962,Donald,Skinner
22,8.48,m,4326736791.569749,Robert,Jordan
24,5.83,f,4264659987.8357377,Enedina,Mcneil
18,5.46,m,3177539660.985818,Nathaniel,Boyd
25,4.46,f,6387524184.254247,Clyde,Huelskamp
22,6.29,m,9893607114.977543,Lorena,Harris
25,7.2,f,7976614539.412558,Walter,Ham
22,8.08,m,4955091482.446997,Brian,Lee
28,9.64,f,5165985290.572403,Jason,Page
22,5.58,m,2998614180.6957984,Deborah,Watt
28,5.5,m,8617377739.128672,Christopher,Zupancic
22,7.12,f,2374522808.271658,Helen,Perkins
23,7.79,f,8410757471.702363,Nina,Aber
30,4.06,m,1718326104.717742,Dwight,Johnson
25,8.9,f,9979361611.10039,Allyson,Gay
24,7.61,m,3071493745.563678,David,Propes
29,4.64,f,5192272204.212614,Sheldon,Johnson
19,7.27,m,1341057325.9970546,Elana,Bergeron
19,7.85,f,3397102851.5721703,Lisa,Rowe
18,4.56,m,8901158371.05273,William,Filmore
24,7.6,f,9417808695.07024,Angela,Stultz
26,5.52,m,9347526080.590603,John,Collins
25,4.62,m,6752943490.404512,Thomas,Meade
20,9.85,f,8592321990.492723,Ann,Lorenz
30,9.3,f,3846151056.146501,Delphia,Clarke
21,4.44,m,6906098713.706875,Richard,Allen
29,6.9,f,4620423710.017252,Amelia,Costain
18,6.99,m,4348127536.517285,Anisha,Bridges
20,6.42,f,9112227284.667572,Marcus,Denson
